Covid,Electricity,State,Value
No,Electricity Demand,New South Wales,7998.309867
No,Regional Reference Price,New South Wales,81.07323016
No,Electricity Demand,Queensland,6269.20967
No,Regional Reference Price,Queensland,78.0257641
No,Electricity Demand,South Australia,1311.772684
No,Regional Reference Price,South Australia,94.84382574
No,Electricity Demand,Tasmania,1104.759878
No,Regional Reference Price,Tasmania,88.29052857
No,Electricity Demand,Victoria,4962.823606
No,Regional Reference Price,Victoria,84.88539477
Yes,Electricity Demand,New South Wales,7728.837387
Yes,Regional Reference Price,New South Wales,46.7677238
Yes,Electricity Demand,Queensland,5769.714428
Yes,Regional Reference Price,Queensland,33.68125168
Yes,Electricity Demand,South Australia,1304.290382
Yes,Regional Reference Price,South Australia,39.69980246
Yes,Electricity Demand,Tasmania,1149.579626
Yes,Regional Reference Price,Tasmania,40.79834695
Yes,Electricity Demand,Victoria,4878.826727
Yes,Regional Reference Price,Victoria,45.65270719
