Covid,Electricity,Season,State,Time,WeekTime,Value
No,Electricity Demand,Autumn,New South Wales,00:00:00,Weekday,7401.384489
No,Regional Reference Price,Autumn,New South Wales,00:00:00,Weekday,70.06332117
No,Electricity Demand,Autumn,New South Wales,00:30:00,Weekday,7228.283942
No,Regional Reference Price,Autumn,New South Wales,00:30:00,Weekday,63.89576642
No,Electricity Demand,Autumn,New South Wales,01:00:00,Weekday,7048.43146
No,Regional Reference Price,Autumn,New South Wales,01:00:00,Weekday,61.44408759
No,Electricity Demand,Autumn,New South Wales,01:30:00,Weekday,6822.265584
No,Regional Reference Price,Autumn,New South Wales,01:30:00,Weekday,60.54722628
No,Electricity Demand,Autumn,New South Wales,02:00:00,Weekday,6617.38219
No,Regional Reference Price,Autumn,New South Wales,02:00:00,Weekday,61.32883212
No,Electricity Demand,Autumn,New South Wales,02:30:00,Weekday,6391.014854
No,Regional Reference Price,Autumn,New South Wales,02:30:00,Weekday,58.0410219
No,Electricity Demand,Autumn,New South Wales,03:00:00,Weekday,6250.148613
No,Regional Reference Price,Autumn,New South Wales,03:00:00,Weekday,57.5109854
No,Electricity Demand,Autumn,New South Wales,03:30:00,Weekday,6173.73719
No,Regional Reference Price,Autumn,New South Wales,03:30:00,Weekday,56.83124088
No,Electricity Demand,Autumn,New South Wales,04:00:00,Weekday,6164.82438
No,Regional Reference Price,Autumn,New South Wales,04:00:00,Weekday,56.65638686
No,Electricity Demand,Autumn,New South Wales,04:30:00,Weekday,6270.270365
No,Regional Reference Price,Autumn,New South Wales,04:30:00,Weekday,58.09361314
No,Electricity Demand,Autumn,New South Wales,05:00:00,Weekday,6435.128212
No,Regional Reference Price,Autumn,New South Wales,05:00:00,Weekday,59.52386861
No,Electricity Demand,Autumn,New South Wales,05:30:00,Weekday,6815.359088
No,Regional Reference Price,Autumn,New South Wales,05:30:00,Weekday,66.94693431
No,Electricity Demand,Autumn,New South Wales,06:00:00,Weekday,7194.32854
No,Regional Reference Price,Autumn,New South Wales,06:00:00,Weekday,70.33645985
No,Electricity Demand,Autumn,New South Wales,06:30:00,Weekday,7691.985511
No,Regional Reference Price,Autumn,New South Wales,06:30:00,Weekday,90.28120438
No,Electricity Demand,Autumn,New South Wales,07:00:00,Weekday,8103.370912
No,Regional Reference Price,Autumn,New South Wales,07:00:00,Weekday,118.8317883
No,Electricity Demand,Autumn,New South Wales,07:30:00,Weekday,8305.467409
No,Regional Reference Price,Autumn,New South Wales,07:30:00,Weekday,87.33846715
No,Electricity Demand,Autumn,New South Wales,08:00:00,Weekday,8430.509416
No,Regional Reference Price,Autumn,New South Wales,08:00:00,Weekday,89.44489051
No,Electricity Demand,Autumn,New South Wales,08:30:00,Weekday,8468.573577
No,Regional Reference Price,Autumn,New South Wales,08:30:00,Weekday,86.60372263
No,Electricity Demand,Autumn,New South Wales,09:00:00,Weekday,8406.121277
No,Regional Reference Price,Autumn,New South Wales,09:00:00,Weekday,79.24543796
No,Electricity Demand,Autumn,New South Wales,09:30:00,Weekday,8390.493905
No,Regional Reference Price,Autumn,New South Wales,09:30:00,Weekday,82.85080292
No,Electricity Demand,Autumn,New South Wales,10:00:00,Weekday,8357.423066
No,Regional Reference Price,Autumn,New South Wales,10:00:00,Weekday,78.64733577
No,Electricity Demand,Autumn,New South Wales,10:30:00,Weekday,8329.884526
No,Regional Reference Price,Autumn,New South Wales,10:30:00,Weekday,79.01777372
No,Electricity Demand,Autumn,New South Wales,11:00:00,Weekday,8299.074891
No,Regional Reference Price,Autumn,New South Wales,11:00:00,Weekday,79.20492701
No,Electricity Demand,Autumn,New South Wales,11:30:00,Weekday,8245.434818
No,Regional Reference Price,Autumn,New South Wales,11:30:00,Weekday,76.80025547
No,Electricity Demand,Autumn,New South Wales,12:00:00,Weekday,8230.747664
No,Regional Reference Price,Autumn,New South Wales,12:00:00,Weekday,76.87945256
No,Electricity Demand,Autumn,New South Wales,12:30:00,Weekday,8236.671277
No,Regional Reference Price,Autumn,New South Wales,12:30:00,Weekday,78.39718978
No,Electricity Demand,Autumn,New South Wales,13:00:00,Weekday,8253.806825
No,Regional Reference Price,Autumn,New South Wales,13:00:00,Weekday,79.33051095
No,Electricity Demand,Autumn,New South Wales,13:30:00,Weekday,8283.580219
No,Regional Reference Price,Autumn,New South Wales,13:30:00,Weekday,80.48551095
No,Electricity Demand,Autumn,New South Wales,14:00:00,Weekday,8310.914234
