PROFILEAREA,SETTD,DCTC,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48
CITIPOWER,01/10/2018,MRIM,5479388.01,103292.708,93734.107,86026.02,80033.858,76031.644,73702.167,72827.96,71921.929,72239.266,73474.709,77610.094,84501.605,99115.887,117013.709,127410.936,136884.309,141328.278,141658.776,140367.534,135553.653,132853.132,128745.196,126051.538,123199.141,122451.113,120300.99,119382.961,117380.103,116375.883,115399.183,114730.157,114840.688,115353.693,116521.38,119107.804,123771.082,132766.217,143449.382,146481.167,144606.016,140499.108,136379.007,131073.737,122965.786,117167.077,113802.507,112617.709,106387.104
CITIPOWER,02/10/2018,MRIM,5202648.178,94930.91,85047.845,77548.326,72386.401,68898.48,66257.728,64850.982,64121.507,64237.916,65187.955,68438.723,74366.443,86200.375,100233.582,112313.924,125100.566,132301.753,131788.121,131347.26,127244.426,128409.861,129145.179,131173.562,125096.147,122796.069,120520.309,121495.863,123481.032,119925.175,116555.035,120461.168,119254.253,117785.849,118749.413,121755.28,125927.847,130685.981,135612.889,134989.918,131649.516,127303.985,122837.438,117625.135,110886.347,106908.991,105119.14,104459.34,99234.233
CITIPOWER,03/10/2018,MRIM,5171905.441,88287.945,78867.634,71645.452,66832.408,63728.861,61463.019,60268.706,59249.969,59314.835,59850.572,62455.329,67338.783,77145.54,88748.275,96874.108,106365.344,113317.914,114279.607,116447.144,118999.618,122912.277,123695.397,123581.599,123024.998,123986.176,123493.152,122250.219,120637.983,118268.419,117955.886,119771.143,121330.468,123621.556,127150.051,131649.748,137412.361,142743.657,147694.405,147185.056,144138.077,140048.736,135528.114,130650.486,122678.024,116627.621,113689.533,112433.321,106265.915
CITIPOWER,04/10/2018,MRIM,5561065.677,94518.642,84764.334,77540.249,72417.251,68694.175,66510.73,64988.931,64063.608,64145.517,65257.7,68640.359,74654.997,87043.911,101761.084,112773.754,124414.438,131062.536,131818.471,134063.225,134091.577,134295.936,133239.189,131305.709,130122.154,128780.755,127413.754,128032.539,128695.233,128125.218,126712.006,126996.394,127787.545,128434.177,129812.989,134746.806,141661.789,148285.855,154638.383,155239.705,152638.464,148402.361,143854.063,137960.195,131216.088,125401.361,121592.633,119639.737,112809.15
CITIPOWER,05/10/2018,MRIM,5170440.89,100549.871,90478.332,82474.217,76800.699,73265.401,70877.652,69318.665,68471.695,68464.938,69566.89,73054.739,78932.969,91569.487,105237.987,113884.384,122175.745,126452.772,126320.402,125925.24,123492.835,122703.634,121473.198,119913.08,118681.959,118050.019,116445.078,116215.295,115475.917,114651.779,114063.697,113634.699,113084.955,113596.566,115008.749,116402.681,117940.086,121472.639,128614.765,130866.635,128780.981,125864.435,123163.88,119506.583,115058.997,113608.579,113825.01,114785.64,110236.434
CITIPOWER,06/10/2018,MRIM,4395095.418,98863.661,88648.016,81191.588,75581.201,71726.032,69066.426,67403.824,66227.372,65496.261,65561.635,66927.604,68599.547,72916.553,77957.37,80212.126,85239.374,90465.468,93856.409,96955.401,98010.074,98787.655,98153.96,97565.125,96342.226,95554.068,94961.398,94201.142,92899.862,92149.134,91766.169,91603.908,92228.722,93451.147,96223.876,98864.426,102397.894,107576.26,114274.752,116115.701,113836.739,110632.099,107956.229,104679.661,100887.005,100309.497,102600.607,105621.264,102548.95
CITIPOWER,07/10/2018,MRIM,4201919.072,92340.885,83718.413,76480.824,71180.045,67332.026,64653.958,62772.099,61572.81,61453.684,61613.031,62951.995,64723.748,68458.063,72538.332,74065.766,77944.038,82534.179,85680.945,88942.914,90551.387,91956.791,92075.306,91630.484,90576.585,90052.205,89697.196,88819.94,91717.639,90427.448,91211.899,91508.137,93024.633,96227.054,100150.089,105120.022,110435.868,113379.785,117185.835,117726.007,116023.952,112269.934,106499.848,98645.296,90154.158,86973.801,87540.902,90736.714,88642.402
CITIPOWER,08/10/2018,MRIM,4892935.22,79655.693,72098.81,66530.36,62560.553,60273.288,58741.692,58102.823,58252.4,60090.439,63876.245,73016.303,85254.75,102110.414,113311.553,112611.385,112696.87,113521.498,114143.194,115483.597,115907.975,117037.603,116903.772,117985.621,118401.11,118848.468,118962.518,119301.831,119977.389,120068.554,119149.521,120728.013,122750.059,121987.337,121772.581,122655.074,126125.209,128961.914,129963.765,125751.16,121851.733,116241.266,108745.053,100139.076,90719.43,86723.659,86687.158,89604.503,86652.001
CITIPOWER,09/10/2018,MRIM,5137490.611,77220.058,70092.716,65210.142,61833.904,59960.997,58951.951,58113.566,58096.024,59949.363,63953.982,72888.348,85787.939,103275.864,115078.094,114143.555,115065.01,117393.743,117018.76,120448.744,122080.932,123062.273,123821.065,124520.523,124188.277,124324.735,123467.227,124699.259,123984.654,122791.879,122103.418,124165.382,126262.396,129515.641,132992.833,138771.455,141504.554,141505.348,140942.897,138374.934,134036.713,128476.997,121002.441,111148.663,100081.583,94218.638,93389.44,95445.609,92128.085
CITIPOWER,10/10/2018,MRIM,5254021.797,82468.883,75006.669,69686.912,65939.669,64235.997,63239.852,62865.956,63333.432,65922.851,71103.032,82729.489,98677.157,119235.41,131681.582,127518.287,125756.047,125822.704,124546.149,123687.59,122678.93,122657.886,122786.544,123649.45,122530.018,121363.263,121041.27,118265.34,115230.314,113353.17,113048.659,114561.334,115835.274,118007.711,121255.738,125143.703,130160.258,135133.51,141661.321,144657.172,143340.547,139515.873,132079.653,121175.718,109290.013,102403.991,100314.7,101493.11,97929.659
