PROFILEAREA,SETTD,DCTC,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48
CITIPOWER,1/01/2020,MRIM,3562603.191,78091.68,72103.659,67504.046,63996.854,61386.578,59520.833,58142.078,57220.642,56661.583,56442.924,56855.701,57353.129,59534.421,61200.958,62037.026,64199.364,67815.266,69445.393,71276.073,72045.199,72770.316,73079.154,72771.659,72522.186,72068.396,71610.069,72160.807,72866.396,74121.823,76111.235,78590.362,81949.871,85756.586,89764.064,92660.425,95008.617,94503.126,92974.303,90970.399,90239.579,90447.511,88716.805,84956.317,80129.51,79165.675,80635.844,83457.229,79761.52
CITIPOWER,2/01/2020,MRIM,4071777.105,70519.516,64571.584,60950.222,58475.212,57172.581,56121.212,55499.462,55227.419,55685.371,56818.691,59849.408,63800.714,70429.793,76016.984,79137.293,83169.731,88201.058,90444.376,93040.2,93994.86,94361.597,94158.455,94457.562,93946.925,94139.225,94153.431,94715.996,96119.738,97604.009,98966.948,101444.419,101952.798,103901.867,105645.488,106095.804,106594.711,104503.522,101587.25,98388.052,97318.206,97397.418,94828.552,90311.988,84765.258,83365.153,84251.725,85910.789,81764.532
CITIPOWER,3/01/2020,MRIM,5018081.464,72234.516,65938.02,62161.239,59664.111,58402.723,57296.502,56723.514,56358.145,56721.544,58003.469,61161.193,65383.421,72373.652,78197.686,81535.768,86122.312,91231.015,94098.45,97340.936,99043.858,100704.644,102562.52,104960.036,106717.583,108773.777,110957.162,114844.699,119263.475,124254.584,129697.028,135624.954,143106.826,148216.468,153704.744,155693.915,157633.305,156180.647,152372.537,147530.771,144257.547,142174.063,137679.735,129998.704,120753.852,114982.942,111677.758,110340.32,103424.794
CITIPOWER,4/01/2020,MRIM,4233798.78,91421.414,83438.016,77641.119,73904.692,71461.148,69541.39,67906.234,66755.393,66205.081,65999.52,66749.256,68576.762,72177.696,76390.964,80105.756,85600.377,92428.757,97632.571,103526.407,107213.174,110992.176,112778.805,112076.416,112480.742,113815.413,107397.663,103999.977,98899.325,92723.486,88320.784,87762.069,87919.5,89551.861,91464.247,92916.206,94292.745,93626.425,92407.902,90929.81,90807.705,91465.943,89583.249,86077.767,81762.051,81886.175,83732.109,86659.672,82792.83
CITIPOWER,5/01/2020,MRIM,3815200.586,72801.917,66637.788,62417.407,59741.304,58329.46,56972.05,56156.518,55675.293,55626.932,55920.397,56893.681,57887.23,61012.968,64712.786,67197.665,71838.988,77679.315,81850.417,85377.787,87077.736,88314.809,87293.718,87275.774,87291.077,87475.796,88139.87,85258.697,87131.385,84624.654,85524.788,87059.842,88985.511,92119.393,95222.428,98266.49,100722.618,99891.726,98974.363,97829.252,97656.611,96292.537,92398.144,87031.338,80426.178,78519.08,79979.745,83325.776,80361.347
CITIPOWER,6/01/2020,MRIM,4554961.164,71210.817,64615.786,60201.237,57450.375,56294.892,55117.714,54981.706,54824.349,56021.005,58644.816,65392.986,73685.386,86411.531,96469.761,99528.356,103255.587,108233.502,109912.146,113301.078,113255.644,114852.116,113614.121,114412.801,115813.029,115961.668,115830.832,115608.062,114320.062,113151.303,112679.916,113820.828,115159.969,115811.297,117967.977,118758.656,118990.293,115659.031,112261.629,109373.17,107074.028,103589.951,98438.581,91280.637,83686.428,80953.566,81920.603,84231.829,80930.107
CITIPOWER,7/01/2020,MRIM,4416268.835,71928.381,65106.935,60962.87,58382.356,57143.844,56175.472,55676.915,55802.099,57012.883,59737.492,66027.979,73842.68,86439.421,95389.562,98146.963,102007.442,104681.696,105649.034,108090.627,109047.851,111282.042,111324.368,112219.181,112068.456,111890.442,112862.031,111380.722,109030.853,107686.53,106245.617,105976.118,107071.408,107306.29,107197.979,107428.764,109600.681,108087.969,105415.952,103101.718,102631.588,100710.659,96831.209,90187.556,83104.834,80777.301,81963.708,84535.274,81097.083
CITIPOWER,8/01/2020,MRIM,4468403.935,71634.143,65171.316,60937.669,58372.638,56946.614,56128.75,55736.554,55755.759,57059.199,59657.598,65797.919,73857.25,85716.304,95110.183,97115.568,98932.479,101303.778,102885.448,104892.54,106287.236,107032.336,107747.503,106905.276,106540.319,107633.317,108729.682,108744.209,109341.868,110872.357,111225.444,111637.796,111469.299,112848.023,113500.257,113816.873,114801.989,112986.834,110560.819,107430.145,105758.396,105554.048,102690.574,96148.14,89293.605,86414.993,86915.537,88392.209,84113.142
CITIPOWER,9/01/2020,MRIM,5451801.98,74115.802,67310.221,63154.576,60616.01,59384.209,58341.203,57825.874,57750.555,58678.224,61328.944,67001.69,74950.087,86541.652,95742.385,98991.727,103753.789,108695.952,110850.584,113821.176,115601.7,117893.791,120249.205,123002.82,125956.913,129598.368,133028.65,136712.495,140970.028,144652.651,149642.744,153965.899,158718.596,159253.025,161560.963,160968.957,163253.424,159831.547,155322.386,150289.908,146961.224,144684.629,139129.19,129893.973,119053.733,112475.017,109624.396,108473.16,102177.928
CITIPOWER,10/01/2020,MRIM,5347520.845,90834.174,83349.4,78610.641,75301.845,73090.535,71429.297,70855.111,70767.857,71442.149,73894.794,80413.762,88080.53,100710.3,111109.954,117303.391,125499.442,136225.787,143455.062,151200.357,153944.538,156016.408,157507.172,158737.607,163003.929,165847.784,167849.034,166499.318,153741.814,141328.856,129883.398,123956.102,120260.304,118192.487,116618.788,113702.779,111896.438,107982.394,104201.868,100953.974,98097.264,96951.131,94424.065,89629.283,84385.609,83474.572,85029.691,86747.858,83081.992
CITIPOWER,11/01/2020,MRIM,3850326.191,73488.752,66876.792,62778.328,60235.897,58799.239,57700.102,56961.774,56758.904,56813.042,57537.067,59489.154,61771.312,66344.322,71455.31,74824.895,80032.036,85114.883,89828.81,91988.573,91797.344,93625.519,94685.451,94248.378,91476.396,87337.187,85362.805,82993.959,80539.734,80458.874,80492.513,84230.767,83423.042,85498.384,90181.532,93049.199,94074.704,92383.821,92646.461,92835.96,92922.631,93463.723,91367.641,87480.051,83104.71,83179.802,85295.955,88390.384,84980.072
CITIPOWER,12/01/2020,MRIM,3757636.874,75324.788,68326.878,63496.288,60183.492,58476.712,57251.196,56412.227,55853.198,55810.62,56047.406,57272.495,58205.514,61317.963,64967.893,67064.368,70627.136,75698.397,79167.073,84401.889,86952.967,87973.358,87797.453,89500.969,88876.428,83925.778,82564.038,79783.75,80206.916,79955.443,78362.355,78551.704,80901.936,84226.069,88830.39,93068.184,96434.668,97524.788,97330.714,96554.616,96726.745,97722.808,95155.761,90117.43,83267.505,80996.694,81873.219,84736.351,81812.304
CITIPOWER,13/01/2020,MRIM,5029932.851,72530.161,65673.364,60967.455,58061.539,56658.882,55659.205,55272.14,55446.302,56846.2,60275.754,67319.038,75940.07,88340.934,97720.176,98658.262,101175.844,104294.794,105727.983,108100.994,109388.868,110762.333,111885.251,114683.397,116688.594,118368.887,120493.03,123514.716,126372.985,128894.51,131966.549,135843.856,140039.955,142400.546,145085.736,146667.015,148277.99,145585.744,140987.916,135816.411,131976.66,129874.978,124475.431,114879.119,104351.538,98934.455,97262.009,97397.426,92387.849
