REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2020/02/01 00:30:00,8565.63,64.40,TRADE
NSW1,2020/02/01 01:00:00,8275.4,72.48,TRADE
NSW1,2020/02/01 01:30:00,7854.8,70.34,TRADE
NSW1,2020/02/01 02:00:00,7645.57,80.58,TRADE
NSW1,2020/02/01 02:30:00,7521.21,90.96,TRADE
NSW1,2020/02/01 03:00:00,7389.93,81.60,TRADE
NSW1,2020/02/01 03:30:00,7404.46,85.04,TRADE
NSW1,2020/02/01 04:00:00,7323.84,78.05,TRADE
NSW1,2020/02/01 04:30:00,7388.76,88.36,TRADE
NSW1,2020/02/01 05:00:00,7432.72,74.41,TRADE
NSW1,2020/02/01 05:30:00,7541.14,75.25,TRADE
NSW1,2020/02/01 06:00:00,7593.69,74.56,TRADE
NSW1,2020/02/01 06:30:00,7860.48,83.28,TRADE
NSW1,2020/02/01 07:00:00,8185.2,74.02,TRADE
NSW1,2020/02/01 07:30:00,8636.49,80.21,TRADE
NSW1,2020/02/01 08:00:00,9056.01,96.36,TRADE
NSW1,2020/02/01 08:30:00,9582.2,172.22,TRADE
NSW1,2020/02/01 09:00:00,9942.2,128.66,TRADE
NSW1,2020/02/01 09:30:00,10483.65,209.12,TRADE
NSW1,2020/02/01 10:00:00,10873.91,202.16,TRADE
NSW1,2020/02/01 10:30:00,11234.53,266.33,TRADE
NSW1,2020/02/01 11:00:00,11577.88,148.45,TRADE
NSW1,2020/02/01 11:30:00,11799.08,110.34,TRADE
NSW1,2020/02/01 12:00:00,12047.17,145.39,TRADE
NSW1,2020/02/01 12:30:00,12220.43,206.51,TRADE
NSW1,2020/02/01 13:00:00,12358.64,281.78,TRADE
NSW1,2020/02/01 13:30:00,12507.8,123.70,TRADE
NSW1,2020/02/01 14:00:00,12612.76,126.14,TRADE
NSW1,2020/02/01 14:30:00,12769.86,238.76,TRADE
NSW1,2020/02/01 15:00:00,12954.7,78.83,TRADE
NSW1,2020/02/01 15:30:00,13164.26,71.49,TRADE
NSW1,2020/02/01 16:00:00,13363,105.54,TRADE
NSW1,2020/02/01 16:30:00,13464.42,105.04,TRADE
NSW1,2020/02/01 17:00:00,13621.75,2559.22,TRADE
NSW1,2020/02/01 17:30:00,13634.63,233.04,TRADE
NSW1,2020/02/01 18:00:00,13588.73,268.88,TRADE
NSW1,2020/02/01 18:30:00,13441.78,121.65,TRADE
NSW1,2020/02/01 19:00:00,13182.2,283.20,TRADE
NSW1,2020/02/01 19:30:00,13057.93,282.50,TRADE
