REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/11/01 00:30:00,1392.26,70.75,TRADE
SA1,2020/11/01 01:00:00,1351.18,64.13,TRADE
SA1,2020/11/01 01:30:00,1253.96,48.07,TRADE
SA1,2020/11/01 02:00:00,1195.64,49.88,TRADE
SA1,2020/11/01 02:30:00,1149.72,48.08,TRADE
SA1,2020/11/01 03:00:00,1124.05,45.98,TRADE
SA1,2020/11/01 03:30:00,1092.1,45.08,TRADE
SA1,2020/11/01 04:00:00,1093.27,45.44,TRADE
SA1,2020/11/01 04:30:00,1078.6,45.44,TRADE
SA1,2020/11/01 05:00:00,1060.19,45.80,TRADE
SA1,2020/11/01 05:30:00,1052.95,49.03,TRADE
SA1,2020/11/01 06:00:00,1055.07,45.80,TRADE
SA1,2020/11/01 06:30:00,1048.84,39.09,TRADE
SA1,2020/11/01 07:00:00,1033.12,35.38,TRADE
SA1,2020/11/01 07:30:00,927.53,32.13,TRADE
SA1,2020/11/01 08:00:00,815.87,30.27,TRADE
SA1,2020/11/01 08:30:00,704.76,29.76,TRADE
SA1,2020/11/01 09:00:00,636.68,26.46,TRADE
SA1,2020/11/01 09:30:00,547.2,26.89,TRADE
SA1,2020/11/01 10:00:00,460.86,27.72,TRADE
SA1,2020/11/01 10:30:00,396.88,21.97,TRADE
SA1,2020/11/01 11:00:00,339.71,24.05,TRADE
SA1,2020/11/01 11:30:00,312.18,20.34,TRADE
SA1,2020/11/01 12:00:00,316.46,7.47,TRADE
SA1,2020/11/01 12:30:00,320.58,6.95,TRADE
SA1,2020/11/01 13:00:00,334.07,5.81,TRADE
SA1,2020/11/01 13:30:00,338.29,15.83,TRADE
SA1,2020/11/01 14:00:00,354.18,16.65,TRADE
SA1,2020/11/01 14:30:00,377.23,20.48,TRADE
SA1,2020/11/01 15:00:00,437.28,25.02,TRADE
SA1,2020/11/01 15:30:00,464.86,30.47,TRADE
SA1,2020/11/01 16:00:00,576.01,29.68,TRADE
SA1,2020/11/01 16:30:00,695.3,32.44,TRADE
SA1,2020/11/01 17:00:00,843.08,46.64,TRADE
SA1,2020/11/01 17:30:00,962.05,54.59,TRADE
SA1,2020/11/01 18:00:00,1089.06,77.02,TRADE
SA1,2020/11/01 18:30:00,1206.26,61.26,TRADE
SA1,2020/11/01 19:00:00,1274.29,87.49,TRADE
SA1,2020/11/01 19:30:00,1292.69,60.95,TRADE
SA1,2020/11/01 20:00:00,1304.67,57.26,TRADE
SA1,2020/11/01 20:30:00,1258.95,51.84,TRADE
SA1,2020/11/01 21:00:00,1220.52,56,TRADE
SA1,2020/11/01 21:30:00,1175.13,52.18,TRADE
SA1,2020/11/01 22:00:00,1157.07,43.21,TRADE
SA1,2020/11/01 22:30:00,1118.46,44.26,TRADE
SA1,2020/11/01 23:00:00,1080.9,43.11,TRADE
SA1,2020/11/01 23:30:00,1100.8,46.37,TRADE
SA1,2020/11/02 00:00:00,1259.68,50.98,TRADE
SA1,2020/11/02 00:30:00,1254.31,46.36,TRADE
SA1,2020/11/02 01:00:00,1232.73,46.96,TRADE
SA1,2020/11/02 01:30:00,1181.96,43.94,TRADE
SA1,2020/11/02 02:00:00,1134.74,41.37,TRADE
SA1,2020/11/02 02:30:00,1101.6,42.73,TRADE
SA1,2020/11/02 03:00:00,1076.35,40.92,TRADE
SA1,2020/11/02 03:30:00,1045.23,41.26,TRADE
SA1,2020/11/02 04:00:00,1060.07,42.73,TRADE
SA1,2020/11/02 04:30:00,1041.32,45.34,TRADE
SA1,2020/11/02 05:00:00,1054.27,43.97,TRADE
SA1,2020/11/02 05:30:00,1083.66,45.18,TRADE
SA1,2020/11/02 06:00:00,1131.92,43.13,TRADE
SA1,2020/11/02 06:30:00,1183.68,41.64,TRADE
SA1,2020/11/02 07:00:00,1208.51,35.51,TRADE
SA1,2020/11/02 07:30:00,1164.47,30.63,TRADE
SA1,2020/11/02 08:00:00,1051.71,30.65,TRADE
SA1,2020/11/02 08:30:00,963.06,22.16,TRADE
SA1,2020/11/02 09:00:00,867.22,22.98,TRADE
SA1,2020/11/02 09:30:00,812.78,12.74,TRADE
SA1,2020/11/02 10:00:00,768.69,-10.60,TRADE
SA1,2020/11/02 10:30:00,713.96,0.46,TRADE
SA1,2020/11/02 11:00:00,667.54,-30.96,TRADE
SA1,2020/11/02 11:30:00,633.92,28.86,TRADE
SA1,2020/11/02 12:00:00,626.22,22.73,TRADE
SA1,2020/11/02 12:30:00,621.33,26.85,TRADE
SA1,2020/11/02 13:00:00,633.95,29.53,TRADE
SA1,2020/11/02 13:30:00,681.46,28.80,TRADE
SA1,2020/11/02 14:00:00,734.8,33.30,TRADE
SA1,2020/11/02 14:30:00,774.28,34.41,TRADE
SA1,2020/11/02 15:00:00,819.38,36.49,TRADE
SA1,2020/11/02 15:30:00,890.79,42.69,TRADE
SA1,2020/11/02 16:00:00,1001.16,58.43,TRADE
SA1,2020/11/02 16:30:00,1133.94,53.24,TRADE
SA1,2020/11/02 17:00:00,1274.06,73.68,TRADE
SA1,2020/11/02 17:30:00,1412.32,71.90,TRADE
SA1,2020/11/02 18:00:00,1538.76,177.30,TRADE
SA1,2020/11/02 18:30:00,1591.97,132.66,TRADE
SA1,2020/11/02 19:00:00,1612.47,159.19,TRADE
SA1,2020/11/02 19:30:00,1588.76,63.51,TRADE
SA1,2020/11/02 20:00:00,1558.13,59.31,TRADE
SA1,2020/11/02 20:30:00,1497.64,56.16,TRADE
SA1,2020/11/02 21:00:00,1431.54,46.16,TRADE
SA1,2020/11/02 21:30:00,1349.52,41.99,TRADE
SA1,2020/11/02 22:00:00,1322.61,35.87,TRADE
SA1,2020/11/02 22:30:00,1300.67,39.90,TRADE
SA1,2020/11/02 23:00:00,1276.47,32.02,TRADE
SA1,2020/11/02 23:30:00,1276.45,31.40,TRADE
SA1,2020/11/03 00:00:00,1406.22,34.38,TRADE
