REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2020/08/01 00:30:00,1000.25,75.77,TRADE
TAS1,2020/08/01 01:00:00,972.34,46.04,TRADE
TAS1,2020/08/01 01:30:00,972.8,53.63,TRADE
TAS1,2020/08/01 02:00:00,977.01,46.54,TRADE
TAS1,2020/08/01 02:30:00,974.99,48.32,TRADE
TAS1,2020/08/01 03:00:00,972.29,47.06,TRADE
TAS1,2020/08/01 03:30:00,970.2,42.41,TRADE
TAS1,2020/08/01 04:00:00,961.91,44.81,TRADE
TAS1,2020/08/01 04:30:00,987.72,39.01,TRADE
TAS1,2020/08/01 05:00:00,995.12,36.04,TRADE
TAS1,2020/08/01 05:30:00,1006.37,35.09,TRADE
TAS1,2020/08/01 06:00:00,1022.35,36.41,TRADE
TAS1,2020/08/01 06:30:00,1037.79,38.02,TRADE
TAS1,2020/08/01 07:00:00,1070.62,72.91,TRADE
TAS1,2020/08/01 07:30:00,1107.77,67.18,TRADE
TAS1,2020/08/01 08:00:00,1153.78,120.93,TRADE
TAS1,2020/08/01 08:30:00,1196.43,66.92,TRADE
TAS1,2020/08/01 09:00:00,1212.92,73.73,TRADE
TAS1,2020/08/01 09:30:00,1222.26,74.62,TRADE
TAS1,2020/08/01 10:00:00,1207.19,73.65,TRADE
TAS1,2020/08/01 10:30:00,1184.68,50.35,TRADE
TAS1,2020/08/01 11:00:00,1151.25,53.50,TRADE
TAS1,2020/08/01 11:30:00,1075.74,37.63,TRADE
TAS1,2020/08/01 12:00:00,1061.12,41.67,TRADE
TAS1,2020/08/01 12:30:00,1068.77,65.20,TRADE
TAS1,2020/08/01 13:00:00,1022.41,29.31,TRADE
TAS1,2020/08/01 13:30:00,998.75,31.41,TRADE
TAS1,2020/08/01 14:00:00,979.17,11.77,TRADE
TAS1,2020/08/01 14:30:00,969.29,17.82,TRADE
TAS1,2020/08/01 15:00:00,987.91,19.58,TRADE
TAS1,2020/08/01 15:30:00,998.51,30.54,TRADE
TAS1,2020/08/01 16:00:00,1011.46,36.39,TRADE
TAS1,2020/08/01 16:30:00,1045.09,52.53,TRADE
TAS1,2020/08/01 17:00:00,1091.99,85.82,TRADE
TAS1,2020/08/01 17:30:00,1150.08,56.10,TRADE
TAS1,2020/08/01 18:00:00,1221.34,64.87,TRADE
TAS1,2020/08/01 18:30:00,1213.72,70.27,TRADE
TAS1,2020/08/01 19:00:00,1199.84,69.62,TRADE
TAS1,2020/08/01 19:30:00,1170.61,74.19,TRADE
TAS1,2020/08/01 20:00:00,1162.54,77.94,TRADE
TAS1,2020/08/01 20:30:00,1143.58,74.64,TRADE
TAS1,2020/08/01 21:00:00,1125.57,68.32,TRADE
TAS1,2020/08/01 21:30:00,1103.44,54.20,TRADE
TAS1,2020/08/01 22:00:00,1097.87,46.90,TRADE
TAS1,2020/08/01 22:30:00,1055.36,66.55,TRADE
TAS1,2020/08/01 23:00:00,1020.78,71.86,TRADE
TAS1,2020/08/01 23:30:00,1048.33,61.81,TRADE
TAS1,2020/08/02 00:00:00,1011.56,61.83,TRADE
TAS1,2020/08/02 00:30:00,988.76,42.50,TRADE
TAS1,2020/08/02 01:00:00,969.45,45.43,TRADE
TAS1,2020/08/02 01:30:00,973.22,48.95,TRADE
TAS1,2020/08/02 02:00:00,959.64,48.15,TRADE
TAS1,2020/08/02 02:30:00,963.91,43.36,TRADE
TAS1,2020/08/02 03:00:00,957.65,38.05,TRADE
TAS1,2020/08/02 03:30:00,976.77,41.60,TRADE
TAS1,2020/08/02 04:00:00,955.06,39.18,TRADE
TAS1,2020/08/02 04:30:00,972.54,40.67,TRADE
TAS1,2020/08/02 05:00:00,962.13,42.13,TRADE
TAS1,2020/08/02 05:30:00,968.46,41.68,TRADE
TAS1,2020/08/02 06:00:00,975.39,45.32,TRADE
TAS1,2020/08/02 06:30:00,1005.71,51.74,TRADE
TAS1,2020/08/02 07:00:00,1055.34,47.88,TRADE
TAS1,2020/08/02 07:30:00,1073.84,57.83,TRADE
TAS1,2020/08/02 08:00:00,1101.04,41.55,TRADE
TAS1,2020/08/02 08:30:00,1135.34,53.56,TRADE
TAS1,2020/08/02 09:00:00,1162.44,42.75,TRADE
TAS1,2020/08/02 09:30:00,1153.35,102.82,TRADE
TAS1,2020/08/02 10:00:00,1110.03,40.34,TRADE
TAS1,2020/08/02 10:30:00,1103.24,38.57,TRADE
TAS1,2020/08/02 11:00:00,1074.51,70.21,TRADE
TAS1,2020/08/02 11:30:00,1031.55,65.32,TRADE
TAS1,2020/08/02 12:00:00,1007.2,70.16,TRADE
TAS1,2020/08/02 12:30:00,1012.98,70.20,TRADE
TAS1,2020/08/02 13:00:00,988.87,69.51,TRADE
TAS1,2020/08/02 13:30:00,983.7,70.26,TRADE
TAS1,2020/08/02 14:00:00,963.54,36.55,TRADE
TAS1,2020/08/02 14:30:00,968.4,41.09,TRADE
TAS1,2020/08/02 15:00:00,968.62,48.52,TRADE
TAS1,2020/08/02 15:30:00,999.57,53.53,TRADE
TAS1,2020/08/02 16:00:00,1037.96,43.12,TRADE
TAS1,2020/08/02 16:30:00,1074.7,61.68,TRADE
TAS1,2020/08/02 17:00:00,1183.36,33.67,TRADE
TAS1,2020/08/02 17:30:00,1258.78,66.14,TRADE
TAS1,2020/08/02 18:00:00,1332.43,97.92,TRADE
TAS1,2020/08/02 18:30:00,1357.15,25.81,TRADE
TAS1,2020/08/02 19:00:00,1328.12,11.37,TRADE
TAS1,2020/08/02 19:30:00,1289.94,39.75,TRADE
TAS1,2020/08/02 20:00:00,1274.73,52.04,TRADE
TAS1,2020/08/02 20:30:00,1248.6,60.07,TRADE
TAS1,2020/08/02 21:00:00,1215.68,56.46,TRADE
TAS1,2020/08/02 21:30:00,1171.18,57.74,TRADE
TAS1,2020/08/02 22:00:00,1130.63,52.38,TRADE
TAS1,2020/08/02 22:30:00,1093.21,96.77,TRADE
TAS1,2020/08/02 23:00:00,1090.69,46.33,TRADE
TAS1,2020/08/02 23:30:00,1022.19,44.83,TRADE
TAS1,2020/08/03 00:00:00,989.8,58.81,TRADE
TAS1,2020/08/03 00:30:00,974.33,42.62,TRADE
TAS1,2020/08/03 01:00:00,930.09,163.65,TRADE
TAS1,2020/08/03 01:30:00,968.64,319.18,TRADE
TAS1,2020/08/03 02:00:00,918.79,45.47,TRADE
TAS1,2020/08/03 02:30:00,893.99,43.39,TRADE
TAS1,2020/08/03 03:00:00,915.76,42.53,TRADE
TAS1,2020/08/03 03:30:00,928.81,43.99,TRADE
TAS1,2020/08/03 04:00:00,912.72,41.95,TRADE
TAS1,2020/08/03 04:30:00,938.82,40.37,TRADE
TAS1,2020/08/03 05:00:00,945.03,40.22,TRADE
TAS1,2020/08/03 05:30:00,963.41,41.32,TRADE
TAS1,2020/08/03 06:00:00,1008.79,36.71,TRADE
TAS1,2020/08/03 06:30:00,1090.66,30.88,TRADE
TAS1,2020/08/03 07:00:00,1168.07,51.31,TRADE
TAS1,2020/08/03 07:30:00,1265.55,50.19,TRADE
TAS1,2020/08/03 08:00:00,1331.06,10.86,TRADE
TAS1,2020/08/03 08:30:00,1348.31,23.12,TRADE
TAS1,2020/08/03 09:00:00,1328.46,13.18,TRADE
TAS1,2020/08/03 09:30:00,1329.04,10.45,TRADE
TAS1,2020/08/03 10:00:00,1274.09,10.98,TRADE
TAS1,2020/08/03 10:30:00,1234.51,14.29,TRADE
TAS1,2020/08/03 11:00:00,1186.94,17.17,TRADE
TAS1,2020/08/03 11:30:00,1148.73,38.11,TRADE
TAS1,2020/08/03 12:00:00,1118.28,37.69,TRADE
TAS1,2020/08/03 12:30:00,1105.88,39.64,TRADE
TAS1,2020/08/03 13:00:00,1093.35,38.22,TRADE
TAS1,2020/08/03 13:30:00,1082.46,36.87,TRADE
TAS1,2020/08/03 14:00:00,1090.46,35.25,TRADE
TAS1,2020/08/03 14:30:00,1097.7,33.92,TRADE
TAS1,2020/08/03 15:00:00,1098.7,32.11,TRADE
TAS1,2020/08/03 15:30:00,1112.97,35.95,TRADE
TAS1,2020/08/03 16:00:00,1172.69,41.92,TRADE
TAS1,2020/08/03 16:30:00,1187.95,38.19,TRADE
TAS1,2020/08/03 17:00:00,1258.81,37.48,TRADE
TAS1,2020/08/03 17:30:00,1318.77,23.85,TRADE
TAS1,2020/08/03 18:00:00,1392.85,23.85,TRADE
TAS1,2020/08/03 18:30:00,1404.39,26.83,TRADE
TAS1,2020/08/03 19:00:00,1406.05,26.83,TRADE
TAS1,2020/08/03 19:30:00,1408.51,23.23,TRADE
TAS1,2020/08/03 20:00:00,1403.03,26.83,TRADE
TAS1,2020/08/03 20:30:00,1346.75,18.94,TRADE
TAS1,2020/08/03 21:00:00,1282.84,10.43,TRADE
TAS1,2020/08/03 21:30:00,1261.44,48.40,TRADE
TAS1,2020/08/03 22:00:00,1240.11,47.32,TRADE
TAS1,2020/08/03 22:30:00,1199.91,48.46,TRADE
TAS1,2020/08/03 23:00:00,1137.61,39.76,TRADE
TAS1,2020/08/03 23:30:00,1072.58,40.10,TRADE
TAS1,2020/08/04 00:00:00,1034.56,39.75,TRADE
TAS1,2020/08/04 00:30:00,1011.26,39.17,TRADE
TAS1,2020/08/04 01:00:00,993.19,35.04,TRADE
TAS1,2020/08/04 01:30:00,1002.93,37.65,TRADE
TAS1,2020/08/04 02:00:00,975.05,34.02,TRADE
TAS1,2020/08/04 02:30:00,1022.17,31.48,TRADE
TAS1,2020/08/04 03:00:00,1065.29,35.21,TRADE
TAS1,2020/08/04 03:30:00,1023.43,28.74,TRADE
TAS1,2020/08/04 04:00:00,1045.79,39.93,TRADE
TAS1,2020/08/04 04:30:00,1025.51,49.29,TRADE
TAS1,2020/08/04 05:00:00,1077.33,25.91,TRADE
TAS1,2020/08/04 05:30:00,1105.52,31.39,TRADE
TAS1,2020/08/04 06:00:00,1167.41,41.65,TRADE
TAS1,2020/08/04 06:30:00,1265.66,41.99,TRADE
TAS1,2020/08/04 07:00:00,1361.55,42.96,TRADE
TAS1,2020/08/04 07:30:00,1466.77,41.13,TRADE
TAS1,2020/08/04 08:00:00,1538.01,42.96,TRADE
TAS1,2020/08/04 08:30:00,1608.5,42.45,TRADE
TAS1,2020/08/04 09:00:00,1633.02,59.09,TRADE
TAS1,2020/08/04 09:30:00,1522.68,40.03,TRADE
TAS1,2020/08/04 10:00:00,1494.44,37.11,TRADE
TAS1,2020/08/04 10:30:00,1453.57,35.88,TRADE
TAS1,2020/08/04 11:00:00,1421.43,50.06,TRADE
TAS1,2020/08/04 11:30:00,1392,113.64,TRADE
TAS1,2020/08/04 12:00:00,1352.07,48.62,TRADE
TAS1,2020/08/04 12:30:00,1326.04,133.52,TRADE
TAS1,2020/08/04 13:00:00,1327.47,62.44,TRADE
TAS1,2020/08/04 13:30:00,1310.65,32.76,TRADE
TAS1,2020/08/04 14:00:00,1299.96,30.29,TRADE
TAS1,2020/08/04 14:30:00,1286.92,35.11,TRADE
TAS1,2020/08/04 15:00:00,1289.21,35.32,TRADE
TAS1,2020/08/04 15:30:00,1329.57,55.60,TRADE
TAS1,2020/08/04 16:00:00,1355.87,35.13,TRADE
TAS1,2020/08/04 16:30:00,1346.95,37.73,TRADE
TAS1,2020/08/04 17:00:00,1443.15,36.13,TRADE
TAS1,2020/08/04 17:30:00,1496.5,52.40,TRADE
TAS1,2020/08/04 18:00:00,1510.06,44.42,TRADE
TAS1,2020/08/04 18:30:00,1492.55,51.97,TRADE
TAS1,2020/08/04 19:00:00,1440.49,35.33,TRADE
TAS1,2020/08/04 19:30:00,1395.3,35.33,TRADE
TAS1,2020/08/04 20:00:00,1383.77,35.33,TRADE
TAS1,2020/08/04 20:30:00,1373.39,38.77,TRADE
TAS1,2020/08/04 21:00:00,1343.89,39.79,TRADE
TAS1,2020/08/04 21:30:00,1265.31,43.52,TRADE
TAS1,2020/08/04 22:00:00,1212.27,42.11,TRADE
TAS1,2020/08/04 22:30:00,1162.36,104.75,TRADE
TAS1,2020/08/04 23:00:00,1111.79,38.33,TRADE
TAS1,2020/08/04 23:30:00,1071.25,48.14,TRADE
TAS1,2020/08/05 00:00:00,1029.49,49.13,TRADE
TAS1,2020/08/05 00:30:00,1024.59,43.05,TRADE
TAS1,2020/08/05 01:00:00,1002.12,39.50,TRADE
TAS1,2020/08/05 01:30:00,988.29,40.54,TRADE
TAS1,2020/08/05 02:00:00,982.05,36.35,TRADE
TAS1,2020/08/05 02:30:00,985.35,35.59,TRADE
TAS1,2020/08/05 03:00:00,978.4,32.43,TRADE
TAS1,2020/08/05 03:30:00,968.98,35.58,TRADE
TAS1,2020/08/05 04:00:00,969.45,37.37,TRADE
TAS1,2020/08/05 04:30:00,989.38,35.04,TRADE
TAS1,2020/08/05 05:00:00,1000.49,42.05,TRADE
TAS1,2020/08/05 05:30:00,1023.55,34.23,TRADE
TAS1,2020/08/05 06:00:00,1064.5,38.53,TRADE
TAS1,2020/08/05 06:30:00,1124.78,61.62,TRADE
TAS1,2020/08/05 07:00:00,1217.68,58.32,TRADE
TAS1,2020/08/05 07:30:00,1311.64,51.71,TRADE
TAS1,2020/08/05 08:00:00,1400.16,49.91,TRADE
TAS1,2020/08/05 08:30:00,1435.22,55.86,TRADE
TAS1,2020/08/05 09:00:00,1441.96,79.36,TRADE
TAS1,2020/08/05 09:30:00,1395.13,61.08,TRADE
TAS1,2020/08/05 10:00:00,1358.21,61.93,TRADE
TAS1,2020/08/05 10:30:00,1310.18,50.59,TRADE
TAS1,2020/08/05 11:00:00,1271.7,224.23,TRADE
TAS1,2020/08/05 11:30:00,1269.78,105.33,TRADE
TAS1,2020/08/05 12:00:00,1257.88,43.49,TRADE
TAS1,2020/08/05 12:30:00,1274.06,44.91,TRADE
TAS1,2020/08/05 13:00:00,1270.8,44.50,TRADE
TAS1,2020/08/05 13:30:00,1246.59,42.41,TRADE
TAS1,2020/08/05 14:00:00,1202.41,72.18,TRADE
TAS1,2020/08/05 14:30:00,1220.03,63.98,TRADE
TAS1,2020/08/05 15:00:00,1172.37,6.72,TRADE
TAS1,2020/08/05 15:30:00,1160.01,21.90,TRADE
TAS1,2020/08/05 16:00:00,1158.4,24.29,TRADE
TAS1,2020/08/05 16:30:00,1204.69,40.06,TRADE
TAS1,2020/08/05 17:00:00,1274.44,89.86,TRADE
TAS1,2020/08/05 17:30:00,1329.1,62.04,TRADE
TAS1,2020/08/05 18:00:00,1383.27,67.93,TRADE
TAS1,2020/08/05 18:30:00,1408.5,13.24,TRADE
TAS1,2020/08/05 19:00:00,1397.09,0.46,TRADE
TAS1,2020/08/05 19:30:00,1374.77,10.80,TRADE
TAS1,2020/08/05 20:00:00,1368.17,12.86,TRADE
TAS1,2020/08/05 20:30:00,1343.13,24.81,TRADE
TAS1,2020/08/05 21:00:00,1301.21,18.38,TRADE
TAS1,2020/08/05 21:30:00,1306.43,21.42,TRADE
TAS1,2020/08/05 22:00:00,1254.42,31.16,TRADE
TAS1,2020/08/05 22:30:00,1190.72,38.89,TRADE
TAS1,2020/08/05 23:00:00,1139.72,36.24,TRADE
TAS1,2020/08/05 23:30:00,1108.68,34.31,TRADE
TAS1,2020/08/06 00:00:00,1065.84,58.23,TRADE
TAS1,2020/08/06 00:30:00,1036.63,117.75,TRADE
TAS1,2020/08/06 01:00:00,988.23,97.39,TRADE
