REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2020/11/01 00:30:00,4252.61,75.16,TRADE
VIC1,2020/11/01 01:00:00,4119.61,69.14,TRADE
VIC1,2020/11/01 01:30:00,4015.35,52.61,TRADE
VIC1,2020/11/01 02:00:00,3844.49,52.02,TRADE
VIC1,2020/11/01 02:30:00,3759.76,48.85,TRADE
VIC1,2020/11/01 03:00:00,3688.59,45.75,TRADE
VIC1,2020/11/01 03:30:00,3647.14,44.88,TRADE
VIC1,2020/11/01 04:00:00,3629.2,44.83,TRADE
VIC1,2020/11/01 04:30:00,3609.29,44.66,TRADE
VIC1,2020/11/01 05:00:00,3658.01,44.32,TRADE
VIC1,2020/11/01 05:30:00,3750.18,48.34,TRADE
VIC1,2020/11/01 06:00:00,3757.92,45.50,TRADE
VIC1,2020/11/01 06:30:00,3839.79,38.03,TRADE
VIC1,2020/11/01 07:00:00,3897.11,34.85,TRADE
VIC1,2020/11/01 07:30:00,3882.64,33.65,TRADE
VIC1,2020/11/01 08:00:00,3875.82,33.31,TRADE
VIC1,2020/11/01 08:30:00,3827.81,33.54,TRADE
VIC1,2020/11/01 09:00:00,3786.47,30.22,TRADE
VIC1,2020/11/01 09:30:00,3693.17,31.88,TRADE
VIC1,2020/11/01 10:00:00,3513.56,32.84,TRADE
VIC1,2020/11/01 10:30:00,3371.39,26.08,TRADE
VIC1,2020/11/01 11:00:00,3250.78,27.34,TRADE
VIC1,2020/11/01 11:30:00,3142.35,22.64,TRADE
VIC1,2020/11/01 12:00:00,2955.42,8.34,TRADE
VIC1,2020/11/01 12:30:00,2838.88,7.38,TRADE
VIC1,2020/11/01 13:00:00,2711.16,6.20,TRADE
VIC1,2020/11/01 13:30:00,2709.55,17.18,TRADE
VIC1,2020/11/01 14:00:00,2755.92,18.11,TRADE
VIC1,2020/11/01 14:30:00,2811.63,22.54,TRADE
VIC1,2020/11/01 15:00:00,2921.54,27.44,TRADE
VIC1,2020/11/01 15:30:00,3108.65,33.05,TRADE
VIC1,2020/11/01 16:00:00,3311.39,31.12,TRADE
VIC1,2020/11/01 16:30:00,3648.16,33.88,TRADE
VIC1,2020/11/01 17:00:00,3941.98,48.41,TRADE
VIC1,2020/11/01 17:30:00,4259.39,55.41,TRADE
VIC1,2020/11/01 18:00:00,4472.86,77.54,TRADE
VIC1,2020/11/01 18:30:00,4524.26,60.73,TRADE
VIC1,2020/11/01 19:00:00,4577.09,89.04,TRADE
VIC1,2020/11/01 19:30:00,4607.79,62.65,TRADE
VIC1,2020/11/01 20:00:00,4610.76,58.38,TRADE
VIC1,2020/11/01 20:30:00,4552.97,54.38,TRADE
VIC1,2020/11/01 21:00:00,4461.46,57.70,TRADE
VIC1,2020/11/01 21:30:00,4367.22,53.54,TRADE
VIC1,2020/11/01 22:00:00,4214.17,44.09,TRADE
VIC1,2020/11/01 22:30:00,4157.3,45.74,TRADE
VIC1,2020/11/01 23:00:00,4095.69,44.63,TRADE
VIC1,2020/11/01 23:30:00,4348.78,48.07,TRADE
VIC1,2020/11/02 00:00:00,4329.26,51.78,TRADE
VIC1,2020/11/02 00:30:00,4232.92,47.82,TRADE
VIC1,2020/11/02 01:00:00,4127,50.37,TRADE
VIC1,2020/11/02 01:30:00,4037.8,47.44,TRADE
VIC1,2020/11/02 02:00:00,3896.37,44.53,TRADE
VIC1,2020/11/02 02:30:00,3821.66,44.97,TRADE
VIC1,2020/11/02 03:00:00,3751.57,42.51,TRADE
VIC1,2020/11/02 03:30:00,3765.74,42.61,TRADE
VIC1,2020/11/02 04:00:00,3776.17,44.10,TRADE
VIC1,2020/11/02 04:30:00,3879.81,47.03,TRADE
VIC1,2020/11/02 05:00:00,4007.99,46.49,TRADE
VIC1,2020/11/02 05:30:00,4252.45,49.70,TRADE
VIC1,2020/11/02 06:00:00,4433.22,47.86,TRADE
VIC1,2020/11/02 06:30:00,4725.94,46.41,TRADE
VIC1,2020/11/02 07:00:00,4816.99,40.10,TRADE
VIC1,2020/11/02 07:30:00,4673.53,35.37,TRADE
VIC1,2020/11/02 08:00:00,4604.85,37.22,TRADE
VIC1,2020/11/02 08:30:00,4375.19,33.91,TRADE
VIC1,2020/11/02 09:00:00,4066.37,31.25,TRADE
VIC1,2020/11/02 09:30:00,3842.41,31.08,TRADE
VIC1,2020/11/02 10:00:00,3676.14,31.65,TRADE
VIC1,2020/11/02 10:30:00,3593.05,12.96,TRADE
VIC1,2020/11/02 11:00:00,3562.59,20.13,TRADE
VIC1,2020/11/02 11:30:00,3533.76,32.18,TRADE
VIC1,2020/11/02 12:00:00,3539.4,25.60,TRADE
VIC1,2020/11/02 12:30:00,3566.58,29.90,TRADE
VIC1,2020/11/02 13:00:00,3569.53,32.49,TRADE
VIC1,2020/11/02 13:30:00,3681.96,31.11,TRADE
VIC1,2020/11/02 14:00:00,3774.71,35.25,TRADE
VIC1,2020/11/02 14:30:00,3863.47,36.13,TRADE
VIC1,2020/11/02 15:00:00,4036.12,38.03,TRADE
VIC1,2020/11/02 15:30:00,4249.07,43.24,TRADE
VIC1,2020/11/02 16:00:00,4492.21,56.46,TRADE
VIC1,2020/11/02 16:30:00,4801.79,52.48,TRADE
VIC1,2020/11/02 17:00:00,5047.6,72.28,TRADE
VIC1,2020/11/02 17:30:00,5159.87,68.96,TRADE
VIC1,2020/11/02 18:00:00,5225.88,165.37,TRADE
VIC1,2020/11/02 18:30:00,5185.06,124.79,TRADE
VIC1,2020/11/02 19:00:00,5075.6,150.02,TRADE
VIC1,2020/11/02 19:30:00,4988.48,58.60,TRADE
VIC1,2020/11/02 20:00:00,4956.05,55.66,TRADE
VIC1,2020/11/02 20:30:00,4822.91,54.74,TRADE
VIC1,2020/11/02 21:00:00,4614.23,46.27,TRADE
VIC1,2020/11/02 21:30:00,4489.35,41.75,TRADE
VIC1,2020/11/02 22:00:00,4309.7,36.52,TRADE
VIC1,2020/11/02 22:30:00,4203.88,41.81,TRADE
VIC1,2020/11/02 23:00:00,4045.64,34.92,TRADE
VIC1,2020/11/02 23:30:00,4238.96,35.65,TRADE
VIC1,2020/11/03 00:00:00,4216.66,38.15,TRADE
