Covid,State,ElectricityDemand,RegionalReferencePrice
No,New South Wales,7998.3098672128135,81.07323015991255
No,Queensland,6269.209669863123,78.02576410270306
No,South Australia,1311.7726835487579,94.84382573548324
No,Tasmania,1104.7598775211284,88.29052857162182
No,Victoria,4962.823605734728,84.88539476718219
Yes,New South Wales,7728.837387088041,46.76772380353778
Yes,Queensland,5769.714427583717,33.68125168357729
Yes,South Australia,1304.290381610846,39.69980246026761
Yes,Tasmania,1149.5796255724151,40.79834695160294
Yes,Victoria,4878.82672712581,45.65270719224205
