Season,Covid,State,WeekTime,Time,ElectricityDemand,RegionalReferencePrice
Autumn,No,New South Wales,Weekday,00:00:00,7401.3844890510945,70.06332116788322
Autumn,No,New South Wales,Weekday,00:30:00,7228.283941605846,63.89576642335765
Autumn,No,New South Wales,Weekday,01:00:00,7048.431459854014,61.444087591240866
Autumn,No,New South Wales,Weekday,01:30:00,6822.265583941608,60.54722627737226
Autumn,No,New South Wales,Weekday,02:00:00,6617.382189781019,61.328832116788305
Autumn,No,New South Wales,Weekday,02:30:00,6391.014854014596,58.041021897810275
Autumn,No,New South Wales,Weekday,03:00:00,6250.148613138687,57.51098540145988
Autumn,No,New South Wales,Weekday,03:30:00,6173.737189781028,56.83124087591245
Autumn,No,New South Wales,Weekday,04:00:00,6164.824379562042,56.65638686131386
Autumn,No,New South Wales,Weekday,04:30:00,6270.270364963501,58.09361313868613
Autumn,No,New South Wales,Weekday,05:00:00,6435.1282116788325,59.52386861313866
Autumn,No,New South Wales,Weekday,05:30:00,6815.359087591244,66.94693430656936
Autumn,No,New South Wales,Weekday,06:00:00,7194.328540145989,70.33645985401459
Autumn,No,New South Wales,Weekday,06:30:00,7691.985510948908,90.28120437956206
Autumn,No,New South Wales,Weekday,07:00:00,8103.370912408757,118.83178832116793
Autumn,No,New South Wales,Weekday,07:30:00,8305.467408759125,87.33846715328472
Autumn,No,New South Wales,Weekday,08:00:00,8430.509416058396,89.4448905109489
Autumn,No,New South Wales,Weekday,08:30:00,8468.57357664234,86.60372262773718
Autumn,No,New South Wales,Weekday,09:00:00,8406.121277372265,79.2454379562044
Autumn,No,New South Wales,Weekday,09:30:00,8390.493905109486,82.85080291970803
Autumn,No,New South Wales,Weekday,10:00:00,8357.42306569343,78.64733576642335
Autumn,No,New South Wales,Weekday,10:30:00,8329.884525547439,79.01777372262778
Autumn,No,New South Wales,Weekday,11:00:00,8299.074890510943,79.20492700729923
Autumn,No,New South Wales,Weekday,11:30:00,8245.434817518246,76.8002554744525
Autumn,No,New South Wales,Weekday,12:00:00,8230.747664233573,76.8794525547445
Autumn,No,New South Wales,Weekday,12:30:00,8236.671277372263,78.39718978102192
Autumn,No,New South Wales,Weekday,13:00:00,8253.806824817517,79.33051094890503
Autumn,No,New South Wales,Weekday,13:30:00,8283.5802189781,80.48551094890509
Autumn,No,New South Wales,Weekday,14:00:00,8310.914233576645,81.2220437956205
Autumn,No,New South Wales,Weekday,14:30:00,8347.807956204382,82.28740875912403
Autumn,No,New South Wales,Weekday,15:00:00,8423.565583941603,82.69255474452551
Autumn,No,New South Wales,Weekday,15:30:00,8496.247846715332,84.31065693430658
Autumn,No,New South Wales,Weekday,16:00:00,8612.670218978103,88.83186131386856
Autumn,No,New South Wales,Weekday,16:30:00,8711.499270072989,85.40054744525546
Autumn,No,New South Wales,Weekday,17:00:00,8853.311824817516,94.09686131386853
Autumn,No,New South Wales,Weekday,17:30:00,8986.393284671538,94.09459854014604
Autumn,No,New South Wales,Weekday,18:00:00,9210.934233576641,121.71500000000002
Autumn,No,New South Wales,Weekday,18:30:00,9193.11317518248,109.12883211678833
Autumn,No,New South Wales,Weekday,19:00:00,9096.815510948907,100.58890510948906
Autumn,No,New South Wales,Weekday,19:30:00,8880.953284671541,81.71346715328467
Autumn,No,New South Wales,Weekday,20:00:00,8672.939014598538,82.34934306569349
Autumn,No,New South Wales,Weekday,20:30:00,8482.697116788322,82.19120437956198
Autumn,No,New South Wales,Weekday,21:00:00,8271.119124087592,75.28120437956203
Autumn,No,New South Wales,Weekday,21:30:00,8117.033467153289,72.12795620437959
Autumn,No,New South Wales,Weekday,22:00:00,7913.360620437965,65.48609489051096
Autumn,No,New South Wales,Weekday,22:30:00,7902.950218978105,85.99171532846711
Autumn,No,New South Wales,Weekday,23:00:00,7717.980547445255,75.55248175182481
Autumn,No,New South Wales,Weekday,23:30:00,7614.647591240877,76.90317518248168
Autumn,No,New South Wales,Weekend,00:00:00,7253.847614678899,70.02045871559636
Autumn,No,New South Wales,Weekend,00:30:00,7076.57,64.3177981651376
Autumn,No,New South Wales,Weekend,01:00:00,6889.407155963307,62.371192660550456
Autumn,No,New South Wales,Weekend,01:30:00,6654.7463302752285,59.63917431192662
Autumn,No,New South Wales,Weekend,02:00:00,6440.50247706422,59.605229357798166
Autumn,No,New South Wales,Weekend,02:30:00,6220.855137614673,58.15155963302755
Autumn,No,New South Wales,Weekend,03:00:00,6075.841743119269,56.738440366972476
Autumn,No,New South Wales,Weekend,03:30:00,5984.28376146789,55.24522935779819
