Covid,Electricity,Month,State,Value
No,Electricity Demand,1,New South Wales,8421.012723
No,Regional Reference Price,1,New South Wales,94.7447708
No,Electricity Demand,1,Queensland,6819.611106
No,Regional Reference Price,1,Queensland,97.14447103
No,Electricity Demand,1,South Australia,1403.435887
No,Regional Reference Price,1,South Australia,123.5047318
No,Electricity Demand,1,Tasmania,1053.661964
No,Regional Reference Price,1,Tasmania,100.507298
No,Electricity Demand,1,Victoria,4949.941161
No,Regional Reference Price,1,Victoria,127.1620258
No,Electricity Demand,2,New South Wales,8273.842339
No,Regional Reference Price,2,New South Wales,86.83301496
No,Electricity Demand,2,Queensland,6893.935932
No,Regional Reference Price,2,Queensland,113.7630223
No,Electricity Demand,2,South Australia,1353.642534
No,Regional Reference Price,2,South Australia,100.2182967
No,Electricity Demand,2,Tasmania,1034.326844
No,Regional Reference Price,2,Tasmania,104.5884228
No,Electricity Demand,2,Victoria,4920.624999
No,Regional Reference Price,2,Victoria,75.19616491
No,Electricity Demand,3,New South Wales,7884.458158
No,Regional Reference Price,3,New South Wales,70.02655276
Yes,Electricity Demand,3,New South Wales,7217.026836
Yes,Regional Reference Price,3,New South Wales,46.70522135
No,Electricity Demand,3,Queensland,6596.289279
No,Regional Reference Price,3,Queensland,72.50417416
Yes,Electricity Demand,3,Queensland,6122.944831
Yes,Regional Reference Price,3,Queensland,37.46165365
No,Electricity Demand,3,South Australia,1322.000022
No,Regional Reference Price,3,South Australia,92.23351619
Yes,Electricity Demand,3,South Australia,1204.208984
Yes,Regional Reference Price,3,South Australia,45.39647135
No,Electricity Demand,3,Tasmania,1008.229317
No,Regional Reference Price,3,Tasmania,131.8752203
Yes,Electricity Demand,3,Tasmania,1008.274792
Yes,Regional Reference Price,3,Tasmania,37.23932292
No,Electricity Demand,3,Victoria,4858.066974
No,Regional Reference Price,3,Victoria,80.91552908
Yes,Electricity Demand,3,Victoria,4585.615846
Yes,Regional Reference Price,3,Victoria,46.5675651
No,Electricity Demand,4,New South Wales,7424.707627
No,Regional Reference Price,4,New South Wales,81.52899132
Yes,Electricity Demand,4,New South Wales,6926.293556
Yes,Regional Reference Price,4,New South Wales,40.37615278
No,Electricity Demand,4,Queensland,6048.762297
No,Regional Reference Price,4,Queensland,73.40298958
