PROFILEAREA,SETTD,DCTC,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48
CITIPOWER,01/07/2016,MRIM,7331254.292,132811.473,119440.417,108882.229,101164.168,95531.44,91783.075,89311.454,87875.137,87585.635,88560.184,92838.729,99888.708,114970.542,133504.562,149930.614,168524.122,179926.247,185089.603,190437.917,191064.858,190444.363,187656.555,182233.936,177109.507,173207.851,168444.213,167264.328,169415.124,168563.832,166389.417,165980.054,167675.623,168618.057,174482.903,180417.312,187217.164,189251.812,188204.54,184554.016,180472.024,176123.415,172194.125,167390.8,161469.072,157490.419,154721.576,151798.053,143343.087
CITIPOWER,02/07/2016,MRIM,6084406.745,129834.112,117118.139,106516.551,98615.909,92662.483,88473.672,85693.958,83758.817,82539.57,82173.43,83683.722,85870.388,90548.42,96242.083,100332.229,110767.49,120625.009,128169.96,134162.364,138710.536,140031.303,134460.18,132049.928,132534.295,136398.904,129382.874,128777.686,131926.647,132883.379,133047.717,134118.209,135685,138048.757,145424.133,155122.14,166541.811,170255.373,168639.256,164410.557,159484.388,155243.558,151680.733,147244.453,142535.981,141032.835,141167.622,142540.392,137239.792
CITIPOWER,03/07/2016,MRIM,5807817.465,125506.675,113466.097,102104.825,93794.615,88092.947,84206.596,81630.579,79850.667,79075.401,78710.008,79531.081,80800.344,83380.271,86773.836,88669.061,96674.259,105988.265,113930.718,119316.998,120365.6,121169.849,122069.384,123676.242,121031.1,120572.889,121383.012,123512.748,122236.749,122734.232,121676.236,120890.569,122531.428,126618.408,138087.525,150463.956,163172.113,170559.059,173188.441,171629.896,169267.219,166049.62,162638.176,157935.871,150284.833,142732.75,137652.626,134910.668,127273.023
CITIPOWER,04/07/2016,MRIM,7193251.658,114854.853,103595.124,94392.306,87488.602,82667.296,79383.413,77875.12,76412.295,76528.193,77439.467,81487.486,88194.938,102212.777,120058.974,136298.514,153698.995,164443.316,169805.445,175200.079,176004.959,176831.272,177077.868,177108.081,176830.194,176890.273,177213.72,179364.686,178655.685,177400.685,176746.987,176111.456,176539.811,175671.089,180580.781,186895.029,193464.952,198183.689,200696.454,198811.272,194489.059,190696.573,185619.161,177525.047,166481.849,156091.744,148102.626,142351.545,132777.918
CITIPOWER,05/07/2016,MRIM,7492290.352,119156.642,106962.11,97702.973,90992.549,86062.286,82858.515,80765.703,79756.793,79648.457,80780.679,84530.198,91235.881,106381.165,124969.933,141448.399,159144.487,169853.935,174867.476,181445.633,184380.176,187078.15,188809.841,189253.33,189897.5,191416.677,192503.445,194402.187,191565.041,187383.5,185239.493,182790.994,181369.188,179129.191,181813.688,186898.431,196161.394,202039.203,205151.003,203549.622,200614.044,197097.25,192087.657,184818.941,173710.899,164042.643,154958.847,148125.398,137438.805
CITIPOWER,06/07/2016,MRIM,7288589.062,123370.439,110842.599,100335.865,93056.848,87966.887,84372.459,82340.492,80934.669,80521.235,80953.558,84755.756,91321.092,105781.953,123329.271,139297.634,156529.422,167209.828,172394.612,177219.245,178152.617,178210.62,178153.978,178479.146,178211.978,178970.445,178427.06,179172.079,178441.473,175983.699,173195.062,172476.067,173943.247,174852.067,178951.658,184533.404,192122.843,196693.594,198893.166,197369.275,195041.768,191919.797,187458.151,180290.433,170626.204,160806.052,152394.833,146419.638,135864.844
CITIPOWER,07/07/2016,MRIM,7167002.376,121958.73,109890.63,100061.29,92507.537,87332.841,84125.165,82147.76,80724.406,80515.229,81274.088,85302.732,92045.787,106313.386,123895.811,139697.01,157622.652,167975.403,173278.414,177481.594,178978.344,180649.893,180160.6,177716.632,176818.052,174377.124,172903.851,174257.468,173204.495,170669.975,167705.855,165670.559,166354.084,167519.541,171379.251,177768.904,186451.851,191302.679,192688.979,190594.611,188189.504,184296.072,179764.217,174536.942,165881.257,158594.8,152056.666,146246.279,136113.426
CITIPOWER,08/07/2016,MRIM,6797298.001,121807.765,109307.302,99049.578,91557.986,86880.548,83552.233,81172.69,80124.787,79933.575,80715.704,84444.833,91215.92,105225.232,122165.675,137315.867,153987.083,163140.575,167816.405,171957.843,172167.466,172828.901,169765.958,163741.007,160288.837,159609.694,158210.333,161183.902,161453.738,157656.309,155526.344,152703.208,152095.548,152671.075,157657.63,164247.561,174226.917,177873.443,178053.344,175140.252,171843.909,168196.039,164972.218,160369.699,154992.594,151785.686,149527.001,147348.692,139789.095
CITIPOWER,09/07/2016,MRIM,6218243.193,127047.746,115141.005,105152.446,97432.358,91811.942,87853.71,85274.793,83567.799,82646.734,82731.989,84071.111,86530.355,91442.73,97358.072,102058.985,113566.482,126948.093,136815.312,143268.76,145766.531,145562.734,142500.003,140072.711,136781.536,135013.501,132220.74,131540.482,129051.76,127617.649,126253.718,125943.225,127468.617,130933.058,141522.579,155395.392,170576.291,177578.632,177409.383,173986.876,170201.333,166270.212,162442.713,158435.243,153259.84,150826.536,149687.21,149749.421,143454.845
CITIPOWER,10/07/2016,MRIM,6719910.336,130970.052,119176.58,108204.635,99586.333,93515.959,89233.073,86280.194,84152.176,83011.163,82646.451,83313.643,84455.223,87816.889,91989.6,94039.294,103555.154,114697.706,125298.798,133723.424,138888.944,143975.525,147197.354,150020.634,151276.25,152050.859,151147.017,154663.13,156436.618,157802.271,160929.545,163273.895,166500.834,170280.173,178881.024,187284.396,196170.662,200906.48,200765.057,198223.3,194556.559,190047.49,184758.056,176804.95,166298.827,156461.99,148912.559,143988.011,135741.579
