PROFILEAREA,SETTD,DCTC,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48
CITIPOWER,1/10/2019,MRIM,5507797.531,106581.591,96352.198,88581.704,82857.6,79332.264,77057.218,75830.768,75250.345,75780.404,77257.534,82104.295,90305.329,105963.826,123377.293,133856.458,142567.784,144571.892,141549.459,138794.542,133852.125,130696.847,126971.5,123504.719,120625.806,119224.627,117178.365,116637.877,114826.361,113804.152,112805.253,112032.512,112342.602,113614.117,115771.45,118687.749,122678.791,128847.771,139956.073,144567.397,144016.498,140851.491,137519.125,132346.444,124553.343,118204.387,114446.488,112650.891,106610.266
CITIPOWER,2/10/2019,MRIM,5013572.913,95207.78,85766.499,78481.176,73069.223,69989.914,67642.356,66538.118,65816.166,66022.097,67292.821,71416.707,78063.068,90978.936,105282.096,113255.315,120065.796,121850.535,119916.383,118229.645,115205.464,114570.145,112759.876,112047.233,111311.593,112145.558,115851.4,117619.818,117848.401,118550.53,118712.913,116719.858,113308.141,115073.969,114481.417,116686.03,117514.822,120793.902,127900.316,129442.353,126885.48,123356.098,119476.984,114774.749,108403.465,104414.057,102422.85,102674.762,97736.098
CITIPOWER,3/10/2019,MRIM,4802144.242,86818.878,77709.229,70869.165,66261.42,63225.615,61078.209,59917.636,59073.469,59289.658,59987.488,63056.205,68066.666,77883.302,89530.943,97284.314,104488.165,109160.399,110107.817,111934.213,112139.591,113670.843,113831.192,114843.815,115542.122,116884.364,117600.204,118200.57,115601.108,114260.78,113158.834,112444.148,112598.486,112948.697,114062.686,115234.436,116562.277,119201.949,125888.051,127044.029,124595.347,120683.651,116347.276,112123.399,106149.853,103054.231,101952.78,102414.235,97362.497
CITIPOWER,4/10/2019,MRIM,5300831.768,86350.588,77423.193,70740.789,66030.337,63062.817,60979.071,59804.402,59254.913,59326.683,59993.378,63022.185,67685.511,77262.704,89432.757,98990.952,108262.841,116485.978,120242.634,125901.905,127568.21,128392.78,124088.799,121690.632,121789.738,119505.395,121928.741,130593.09,130587.544,128263.779,127879.709,126334.781,127303.515,131179.439,135376.207,139233.715,142724.393,146276.815,149231.431,147525.493,143675.376,139500.906,134964.921,130083.442,124234.949,120782.714,118672.307,118473.407,112715.902
CITIPOWER,5/10/2019,MRIM,4564477.416,100941.568,90834.467,82866.687,77242.621,73648.869,71018.664,69140.148,68000.896,67290.798,67466.674,68861.536,71138.748,75089.934,79898.925,83043.094,88286.093,92382.509,96244.277,98834.446,99854.95,100154.694,97747.158,95773.899,94367.725,97752.279,101746.48,101102.623,100101.084,94561.47,93115.907,96962.606,97738.175,99549.259,101101.596,105881.011,112604.718,120800.141,124577.51,123566.333,120280.807,116859.688,113561.45,109629.351,105143.674,103651.957,104431.419,106731.537,102896.961
CITIPOWER,6/10/2019,MRIM,4187056.842,92463.789,83188.136,75973.123,70445.609,66623.352,63738.099,62024.474,60849.24,60188.885,60060.544,61334.576,62954.99,66089.849,70412.437,73812.797,77564.605,81489.442,84726.537,92429.859,92242.609,88508.385,88707.297,88322.595,87774.016,86901.577,87154.505,86955.502,91268.866,90546.696,91110.344,93177.33,96536.183,98776.69,103124.002,108527.377,113107.961,114721.818,117916.24,118195.881,116526.755,112259.993,106463.113,98872.003,90525.933,86718.52,87090.847,90484.004,88169.457
CITIPOWER,7/10/2019,MRIM,4954011.34,79156.674,71844.662,66142.899,62686.525,60458.069,59091.542,58367.348,58726.462,60667.302,65177.785,74682.471,87938.052,105967.795,118344.893,116734.478,117217.46,118584.317,116872.824,118373.253,118781.955,119482.836,118554.192,119097.709,119778.54,120298.852,117693.562,113911.711,114248.447,112558.485,112058.773,112759.413,115849.1,116265.04,118246.638,121938.423,124583.123,127962.341,132011.707,132485.211,129671.507,125154.89,117730.814,107857.513,97975.767,92711.773,92421.122,94108.211,90778.874
CITIPOWER,8/10/2019,MRIM,5556783.938,81799.223,74391.192,69186.505,65897.685,63947.129,62717.324,62205.479,62761.728,65649.175,70622.914,82269.613,98197.362,119550.098,132853.535,131977.666,133437.073,135720.25,135716.112,137801.42,140910.961,135441.909,131757.535,130448.424,129588.4,127673.857,123336.678,121983.461,120379.092,118379.704,120017.616,124645.357,128710.347,130492.512,134135.321,138258.116,143242.518,148944.697,156087.733,158350.084,155774.608,150083.107,141442.511,129103.95,115409.375,106941.421,103646.59,104346.011,100550.56
CITIPOWER,9/10/2019,MRIM,5735600.868,90979.349,83196.708,77737.419,73813.548,71314.663,70036.574,69506.665,70177.412,72955.651,78688.408,91730.624,109347.378,132726.064,147190.889,145716.995,147270.771,147621.922,148488.136,151143.696,142480.246,142278.537,140979.503,136077.614,134515.385,132592.616,131339.661,128241.525,125404.934,121254.582,119177.293,119237.68,120845.702,122996.309,126753.816,131870.717,140231.388,147880.666,153293.897,153719.482,151094.839,145859.202,137994.209,126237.346,113318,105350.184,102460.803,103275.209,99196.651
CITIPOWER,10/10/2019,MRIM,5784617.165,89722.428,81811.675,76092.735,72225.811,70070.06,68523.91,68084.718,68471.969,71815.881,77368.077,90003.811,107295.155,129190.159,144079.256,142549.521,141480.109,142756.005,141642.338,141929.943,140754.455,140311.943,138109.415,138101.315,138186.756,137662.185,137863.467,135985.599,131307.75,127569.9,125417.843,124507.241,126034.755,129813.422,134952.711,139666.48,145048.871,149203.117,153884.216,154971.353,152764.703,148387.137,140508.864,129140.635,116532.501,108737.697,105824.038,106244.21,102011.025
CITIPOWER,11/10/2019,MRIM,5422068.525,92211.792,84067.002,78325.269,74273.277,72035.692,70492.275,70044.506,70475.979,73461.072,79104.337,92294.491,109578.791,131065.553,144267.694,140662.115,139822.856,138470.695,134723.006,132175.17,128293.511,127865.281,125365.218,121876.32,121119.8,123044.882,121557.737,120861.456,119719.986,117008.233,113896.315,113449.113,113347.758,116473.319,120874.112,122043.094,124085.271,127057.654,132587.906,135203.319,134223.83,131446.137,127332.652,120420.113,112377.291,107550.663,106104.626,106840.955,102490.401
CITIPOWER,12/10/2019,MRIM,4604017.496,92085.626,84141.488,78241.573,74190.775,71877.05,69668.795,68719.336,68426.4,68972.602,70396.501,74888.461,80568.619,88919.675,96861.256,98305.333,102190.099,104611.846,104642.991,104644.717,102289.537,100930.113,99819.126,100413.817,99280.34,98421.069,99018.267,99915.477,94024.46,91777.391,92659.545,95647.186,99103.541,101941.228,105516.054,108899.039,111826.164,113355.625,117248.195,118791.161,117632.96,115223.262,111606.285,106582.008,100530.373,98111.287,99488.32,102272.342,99340.181
CITIPOWER,13/10/2019,MRIM,4361857.459,90040.782,81827.184,75773.59,71300.216,68517.007,66437.456,65320.474,64833.29,65424.54,66601.006,69700.185,72836.463,78565.45,84389.087,86690.178,89754.31,93118.283,95890.255,102263.296,97755.949,100271.049,102106.928,102511.653,94621.823,94954.865,98595.656,92787.972,88224.372,86431.024,86813.966,87969.188,90451.373,94238.041,99824.915,105625.931,110717.446,114320.762,117877.62,119496.862,118263.126,114415.173,108221.624,99720.85,91201.185,87497.171,87817.812,91015.549,88824.522
