Year,Month,IncomePerWeek
2016,1,1073.7
2016,2,1073.7
2016,3,1073.7
2016,4,1073.7
2016,5,1092.6
2016,6,1092.6
2016,7,1092.6
2016,8,1092.6
2016,9,1092.6
2016,10,1092.6
2016,11,1111.1
2016,12,1111.1
2017,1,1111.1
2017,2,1111.1
2017,3,1111.1
2017,4,1111.1
2017,5,1128.1
2017,6,1128.1
2017,7,1128.1
2017,8,1128.1
2017,9,1128.1
2017,10,1128.1
2017,11,1153.8
2017,12,1153.8
2018,1,1153.8
2018,2,1153.8
2018,3,1153.8
2018,4,1153.8
2018,5,1171.3
2018,6,1171.3
2018,7,1171.3
2018,8,1171.3
2018,9,1171.3
2018,10,1171.3
2018,11,1190.7
2018,12,1190.7
2019,1,1190.7
2019,2,1190.7
2019,3,1190.7
2019,4,1190.7
2019,5,1209.1
2019,6,1209.1
2019,7,1209.1
2019,8,1209.1
2019,9,1209.1
2019,10,1209.1
2019,11,1228.4
2019,12,1228.4
2020,1,1228.4
2020,2,1228.4
2020,3,1228.4
2020,4,1228.4
2020,5,1296.1
2020,6,1296.1
2020,7,1296.1
2020,8,1296.1
2020,9,1296.1
2020,10,1296.1
