SETTLEMENTDATE,TOTALDEMAND,RRP
01-01-2016 00:30,5197.34,35.52
01-01-2016 01:00,4934.54,38.29
01-01-2016 01:30,4721.32,29.3
01-01-2016 02:00,4541.24,31.28
01-01-2016 02:30,4344.18,23.87
01-01-2016 03:00,4225.93,22.49
01-01-2016 03:30,4164.47,22.81
01-01-2016 04:00,4131.72,22.2
01-01-2016 04:30,4115.7,22.2
01-01-2016 05:00,4107.57,22.51
01-01-2016 05:30,4115.95,22.2
01-01-2016 06:00,4147.24,22.31
01-01-2016 06:30,4262.67,22.66
01-01-2016 07:00,4293.51,26.83
01-01-2016 07:30,4328.27,30.32
01-01-2016 08:00,4450.14,32.03
01-01-2016 08:30,4575.45,32.71
01-01-2016 09:00,4659.07,33.97
01-01-2016 09:30,4752.39,32.87
01-01-2016 10:00,4860.72,33.95
01-01-2016 10:30,5010.03,34.29
01-01-2016 11:00,5131.9,36.04
01-01-2016 11:30,5229.41,36.31
01-01-2016 12:00,5326.05,34.69
01-01-2016 12:30,5400.9,36.08
01-01-2016 13:00,5440.7,36.74
01-01-2016 13:30,5468.5,35.61
01-01-2016 14:00,5534.46,35.77
01-01-2016 14:30,5559.33,35.25
01-01-2016 15:00,5631.16,34.98
01-01-2016 15:30,5661.19,34.16
01-01-2016 16:00,5646.13,33.33
01-01-2016 16:30,5614.33,39.03
01-01-2016 17:00,5512.2,36.3
01-01-2016 17:30,5398.27,32.76
01-01-2016 18:00,5213.02,33.31
01-01-2016 18:30,5072.61,30.51
01-01-2016 19:00,4913.41,31.14
01-01-2016 19:30,4839.51,36.53
01-01-2016 20:00,4787.69,35.09
01-01-2016 20:30,4816.71,37.05
01-01-2016 21:00,4626.77,34.55
01-01-2016 21:30,4473.69,33.1
01-01-2016 22:00,4320.02,32.07
01-01-2016 22:30,4258.06,31.65
01-01-2016 23:00,4226.59,28.2
01-01-2016 23:30,4508.25,31.8
02-01-2016 00:00,4488.35,32.36
02-01-2016 00:30,4222.34,28.09
02-01-2016 01:00,4026.8,22.06
02-01-2016 01:30,3859.76,18.54
02-01-2016 02:00,3710.01,18.15
02-01-2016 02:30,3597.57,16.38
02-01-2016 03:00,3507.28,14.76
02-01-2016 03:30,3459.03,15.72
02-01-2016 04:00,3430.83,14.51
02-01-2016 04:30,3443.63,20.04
02-01-2016 05:00,3480.47,20.45
02-01-2016 05:30,3526.94,21.06
02-01-2016 06:00,3574.83,20.79
02-01-2016 06:30,3666.26,21.32
02-01-2016 07:00,3799.22,21.97
02-01-2016 07:30,3815.16,22.56
02-01-2016 08:00,3939.26,24.51
02-01-2016 08:30,4015.85,25.59
02-01-2016 09:00,4033.96,23.95
02-01-2016 09:30,4065.44,23.49
02-01-2016 10:00,4100.68,24.15
02-01-2016 10:30,4089.79,23.21
02-01-2016 11:00,4136.98,23.65
02-01-2016 11:30,4165.9,22.89
